HH:MM:SS   KB/s in  KB/s out
21:12:58      0.00      0.00
21:12:58      0.00      0.00
21:12:58      0.00      0.00
21:12:58      0.00      0.00
21:12:58      0.00      0.00
21:12:58      0.00      0.00
21:12:58      0.00      0.00
21:12:58      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:12:59      0.00      0.00
21:13:00      0.00      0.00
21:13:00      0.00      0.00
21:13:00      0.00      0.00
21:13:00      0.00      0.00
21:13:00      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:00      0.00      0.00
21:13:00      0.00      0.00
21:13:00      0.00      0.00
21:13:00      0.00      0.00
21:13:01      0.00      0.00
21:13:01      0.00      0.00
21:13:01      0.00      0.00
21:13:01      0.00      0.00
21:13:01      0.00      0.00
21:13:01      0.00      0.00
21:13:01      0.58      0.00
21:13:01      0.00      0.00
21:13:01      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
21:13:02      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:02      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:03      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:04      0.00      0.00
21:13:05      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:05      0.00      0.00
21:13:05      0.00      0.00
21:13:05      0.00      0.00
21:13:05      0.00      0.00
21:13:05      0.00      0.00
21:13:05      0.00      0.00
21:13:05      0.00      0.86
21:13:05      0.00      0.00
21:13:06      0.00      0.00
21:13:06      0.00      0.00
21:13:06      0.87      0.00
21:13:06      0.00      0.00
21:13:06      0.00      0.00
21:13:06      0.00      0.00
21:13:06      0.00      0.00
21:13:06      0.00      0.00
21:13:06      0.00      0.00
21:13:06      0.00      0.00
21:13:07      0.00      0.00
21:13:07      0.00      0.00
21:13:07      0.00      0.00
21:13:07      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:07      0.00      0.00
21:13:07      0.00      0.00
21:13:07      0.00      0.00
21:13:07      0.00      0.00
21:13:07      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:08      0.00      0.00
21:13:09      0.00      0.00
21:13:09      0.00      0.00
21:13:09      0.00      0.00
21:13:09      0.00      0.00
21:13:09      0.00      0.00
21:13:09      0.00      0.00
21:13:09      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:09      0.00      0.00
21:13:09      0.00      0.00
21:13:10      0.00      0.00
21:13:10      0.00      0.00
21:13:10      0.00      0.00
21:13:10      0.00      0.00
21:13:10      0.00      0.00
21:13:10      0.00      0.00
21:13:10      0.00      0.00
21:13:10      0.00      0.58
21:13:10      0.58      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:11      0.00      0.00
21:13:12      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:12      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
21:13:13      0.00      0.00
